sent_at,context_page_title,device_type,context_page_search,context_page_tab_url,context_screen_inner_height,channel,creative,gclid,context_page_url,city,context_app_version,context_user_agent,uuid_ts,context_page_path,name,fbclid,browser,had_results,context_page_referrer,context_destination_id,version,content,os,context_timezone,context_app_name,adset,context_screen_inner_width,context_page_referring_domain,context_app_install_type,context_destination_type,context_page_initial_referrer,widget_id,context_screen_width,referrer,context_library_version,received_at,placement,source,medium,anonymous_id,context_source_type,country,context_source_id,exp_version,context_session_id,ip_address,timezone,timestamp,query_text_at_clear,context_locale,term,any_result_clicked,context_screen_density,context_library_name,context_app_namespace,component_name,event,application,original_timestamp,adgroup,network_type,isp,context_screen_height,region,campaign,context_request_ip,context_ip,referrer_page,active_tab,device_orientation,country_code,component_position,context_page_initial_referring_domain,page,device,user_id,event_text,id,utm_search,gc_name,external_user_id,gc_id,context_campaign_name,context_campaign_source,context_campaign_medium,context_traits_obpp_kyc_status,context_traits_investment_status,investment_status,obpp_kyc_status,context_traits_gc_id,context_traits_gc_name,context_traits_external_user_id,context_session_start
2026-04-30T00:08:45.245+05:30,Invest in non-market linked investment opportunities,Phone,,https://www.gripinvest.in/assets,449,web,Not received,Not received,https://www.gripinvest.in/assets,Brampton,3.11.17,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",2026-04-30T00:30:13.9+05:30,/assets,Not received,Not received,Unknown,False,$direct,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,iOS,GMT-0400,RudderLabs JavaScript SDK,Not received,393,,npm,POSTGRES,$direct,no-context,393,Not received,3.11.17,2026-04-30T00:08:45.326+05:30,Not received,Not received,Not received,4b96a84a-5220-4a10-96eb-c488402bc8f5,Javascript,Canada,1zPBioi9zJvy4kIey0DcD3upWe6,,1777487691409.0,ip_accb71443c,America/Toronto,2026-04-30T00:08:45.325+05:30,Loan,en-CA,Not received,False,3.0,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Mobile App,2026-04-30T00:08:45.244+05:30,Not received,Unknown,Rogers Communications Canada Inc.,852,Ontario,Not received,ip_accb71443c,ip_accb71443c,/portfolio,bonds,Portrait,CA,0,,/assets,Not received,1300890,asset_search_cleared,271ccc9e-3891-4b97-930d-4c557550f8a1,,,,,,,,True,True,True,True,,,,
2026-04-30T00:34:44.253+05:30,Invest in non-market linked investment opportunities,Phone,?type=bonds,https://www.gripinvest.in/assets?type=bonds,535,web,Not received,Not received,https://www.gripinvest.in/assets?type=bonds,Delhi,3.11.17,"Mozilla/5.0 (Linux; Android 13; SM-G988N Build/TP1A.220624.014; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",2026-04-30T01:00:36.357+05:30,/assets,Not received,Not received,Chrome,False,$direct,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,411,,npm,POSTGRES,$direct,no-context,412,Not received,3.11.17,2026-04-30T00:34:44.042+05:30,Not received,Not received,Not received,6b94e135-112c-4cc0-a6e6-c4995e745700,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1777489379425.0,ip_4ac8d46c3d,Asia/Kolkata,2026-04-30T00:34:44.041+05:30,mothu,en-US,Not received,False,2.625,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Mobile App,2026-04-30T00:34:44.252+05:30,Not received,4g,Excitel Broadband Private Limited,915,National Capital Territory of Delhi,Not received,ip_4ac8d46c3d,ip_4ac8d46c3d,/discover,bonds,Portrait,IN,0,,/assets,Not received,1761084,asset_search_cleared,6204927c-57ac-45ef-9ff6-d71d5f150a7e,?filter=0.25%25extra&utm_source=app&utm_medium=marketing&utm_campaign=PApp_25042026_A_Followup_Deal_Bond_Bundle_Reg_FTI,,,,,,,True,False,False,True,,,,
2026-04-30T01:44:58.975+05:30,Invest in non-market linked investment opportunities,Phone,,https://www.gripinvest.in/assets,469,web,Not received,Not received,https://www.gripinvest.in/assets,Hyderabad,3.11.17,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148",2026-04-30T02:00:27.456+05:30,/assets,Not received,Not received,Unknown,False,https://app.digio.in/,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,iOS,GMT+0530,RudderLabs JavaScript SDK,Not received,430,app.digio.in,npm,POSTGRES,$direct,no-context,430,Not received,3.11.17,2026-04-30T01:44:59.135+05:30,Not received,Paisa Bazaar,connect,f992da66-931c-42f8-9fd8-e29609ca5a21,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1777492764041.0,ip_f0b265fbb7,Asia/Kolkata,2026-04-30T01:44:59.134+05:30,Aaa,en-IN,Not received,False,3.0,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Website,2026-04-30T01:44:58.974+05:30,Not received,Unknown,Reliance Jio Infocomm Limited,932,Telangana,gc,ip_f0b265fbb7,ip_f0b265fbb7,/user-kyc,bonds,Portrait,IN,0,,/assets,Not received,1824317,asset_search_cleared,77390087-17b3-405d-8819-1ada6f8cfac5,?partner_id=PAI00361GC&utm_source=Paisa+Bazaar&utm_medium=connect&utm_campaign=gc,Paisa Bazaar,1565fe80-6aae-4b5e-81de-f26bb5bc9937,361.0,,,,True,False,False,True,361.0,Paisa Bazaar,1565fe80-6aae-4b5e-81de-f26bb5bc9937,
2026-04-30T04:42:43.489+05:30,Invest in non-market linked investment opportunities,Phone,?type=bonds,https://www.gripinvest.in/assets?type=bonds,568,web,Not received,Not received,https://www.gripinvest.in/assets?type=bonds,Guwahati,3.11.17,"Mozilla/5.0 (Linux; Android 15; 23122PCD1I Build/AQ3A.240912.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",2026-04-30T05:00:20.25+05:30,/assets,Not received,Not received,Chrome,False,$direct,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,406,,npm,POSTGRES,$direct,no-context,407,Not received,3.11.17,2026-04-30T04:42:44.651+05:30,Not received,Not received,Not received,3a33e16c-e0d3-4a4d-965f-ea6d5bbf3202,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1777503678344.0,ip_5ba5ceea60,Asia/Kolkata,2026-04-30T04:42:44.65+05:30,RCBMFN260101,en-IN,Not received,False,3.0,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Mobile App,2026-04-30T04:42:43.488+05:30,Not received,4g,Reliance Jio Infocomm Limited,904,Assam,Not received,ip_5ba5ceea60,ip_5ba5ceea60,/discover,bonds,Portrait,IN,0,,/assets,Not received,1219510,asset_search_cleared,ecfc4f31-bcff-4665-8196-fc12070f32d6,,,,,,,,True,True,True,True,,,,
2026-04-30T06:44:58.932+05:30,Invest in non-market linked investment opportunities,Phone,?type=bonds,https://www.gripinvest.in/assets?type=bonds,482,web,Not received,Not received,https://www.gripinvest.in/assets?type=bonds,Varanasi,3.11.17,"Mozilla/5.0 (Linux; Android 16; CPH2723 Build/AP3A.240617.008; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",2026-04-30T07:00:25.785+05:30,/assets,Not received,Not received,Chrome,False,$direct,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,360,,npm,POSTGRES,$direct,no-context,360,Not received,3.11.17,2026-04-30T06:44:59.688+05:30,Not received,Not received,Not received,9f28b151-8e9f-48fd-8bcc-a45d8cd29ee2,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1777511676366.0,ip_0bfe1ed375,Asia/Kolkata,2026-04-30T06:44:59.687+05:30,Mut,en-GB,Not received,False,3.0,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Mobile App,2026-04-30T06:44:58.931+05:30,Not received,4g,"Bharti Airtel Ltd., Telemedia Services",782,Uttar Pradesh,Not received,ip_0bfe1ed375,ip_0bfe1ed375,/discover,bonds,Portrait,IN,0,,/assets,Not received,1822554,asset_search_cleared,1f372eea-9c95-4505-ada6-0e35cda2bea2,,,,,,,,True,False,False,True,,,,
2026-04-30T06:45:03.167+05:30,Invest in non-market linked investment opportunities,Phone,?type=bonds,https://www.gripinvest.in/assets?type=bonds,482,web,Not received,Not received,https://www.gripinvest.in/assets?type=bonds,Varanasi,3.11.17,"Mozilla/5.0 (Linux; Android 16; CPH2723 Build/AP3A.240617.008; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",2026-04-30T07:00:25.785+05:30,/assets,Not received,Not received,Chrome,False,$direct,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,360,,npm,POSTGRES,$direct,no-context,360,Not received,3.11.17,2026-04-30T06:45:03.952+05:30,Not received,Not received,Not received,9f28b151-8e9f-48fd-8bcc-a45d8cd29ee2,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1777511676366.0,ip_0bfe1ed375,Asia/Kolkata,2026-04-30T06:45:03.951+05:30,Muth,en-GB,Not received,False,3.0,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Mobile App,2026-04-30T06:45:03.166+05:30,Not received,4g,"Bharti Airtel Ltd., Telemedia Services",782,Uttar Pradesh,Not received,ip_0bfe1ed375,ip_0bfe1ed375,/discover,bonds,Portrait,IN,0,,/assets,Not received,1822554,asset_search_cleared,0749304d-ac4b-4847-a438-b91c440ce23b,,,,,,,,True,False,False,True,,,,
2026-04-30T06:45:14.561+05:30,Invest in non-market linked investment opportunities,Phone,?type=bonds,https://www.gripinvest.in/assets?type=bonds,482,web,Not received,Not received,https://www.gripinvest.in/assets?type=bonds,Varanasi,3.11.17,"Mozilla/5.0 (Linux; Android 16; CPH2723 Build/AP3A.240617.008; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",2026-04-30T07:00:25.785+05:30,/assets,Not received,Not received,Chrome,False,$direct,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,360,,npm,POSTGRES,$direct,no-context,360,Not received,3.11.17,2026-04-30T06:45:15.312+05:30,Not received,Not received,Not received,9f28b151-8e9f-48fd-8bcc-a45d8cd29ee2,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1777511676366.0,ip_0bfe1ed375,Asia/Kolkata,2026-04-30T06:45:15.312+05:30,Mut,en-GB,Not received,False,3.0,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Mobile App,2026-04-30T06:45:14.561+05:30,Not received,4g,"Bharti Airtel Ltd., Telemedia Services",782,Uttar Pradesh,Not received,ip_0bfe1ed375,ip_0bfe1ed375,/discover,bonds,Portrait,IN,0,,/assets,Not received,1822554,asset_search_cleared,c4e0b99e-6fdb-486b-8a57-d19e5e4fb17b,,,,,,,,True,False,False,True,,,,
2026-04-30T07:01:43.273+05:30,Invest in non-market linked investment opportunities,Phone,,https://www.gripinvest.in/assets,662,web,Not received,Not received,https://www.gripinvest.in/assets,Bengaluru,3.11.17,"Mozilla/5.0 (Linux; Android 16; SM-M346B Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",2026-04-30T07:30:10.84+05:30,/assets,Not received,Not received,Chrome,False,$direct,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,338,,npm,POSTGRES,$direct,no-context,339,Not received,3.11.17,2026-04-30T07:01:43.537+05:30,Not received,Not received,Not received,5c16ef73-ab18-43d7-8c29-ad02fd23b62f,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1777512681005.0,ip_0a94fa3760,Asia/Kolkata,2026-04-30T07:01:43.536+05:30,Zero,en-IN,Not received,False,3.1875,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Mobile App,2026-04-30T07:01:43.272+05:30,Not received,4g,National Internet Backbone,735,Karnataka,Not received,ip_0a94fa3760,ip_0a94fa3760,/discover,bonds,Portrait,IN,0,,/assets,Not received,935075,asset_search_cleared,fde73423-7010-4155-af76-06159c4bfcc3,?utm_source=app&utm_medium=marketing&utm_campaign=PApp_26042026_E_Followup_Deal_Bond_Regency_Reg_AUMG1L,,,,,,,True,True,True,True,,,,
2026-04-30T07:11:09.689+05:30,Invest in non-market linked investment opportunities,Phone,,https://www.gripinvest.in/assets,482,web,Not received,Not received,https://www.gripinvest.in/assets,Varanasi,3.11.17,"Mozilla/5.0 (Linux; Android 16; CPH2723 Build/AP3A.240617.008; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",2026-04-30T07:30:10.84+05:30,/assets,Not received,Not received,Chrome,True,$direct,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,360,,npm,POSTGRES,$direct,no-context,360,Not received,3.11.17,2026-04-30T07:11:10.509+05:30,Not received,Not received,Not received,9f28b151-8e9f-48fd-8bcc-a45d8cd29ee2,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1777511676366.0,ip_0bfe1ed375,Asia/Kolkata,2026-04-30T07:11:10.508+05:30,Iifl,en-GB,Not received,False,3.0,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Mobile App,2026-04-30T07:11:09.688+05:30,Not received,4g,"Bharti Airtel Ltd., Telemedia Services",782,Uttar Pradesh,Not received,ip_0bfe1ed375,ip_0bfe1ed375,/portfolio,bonds,Portrait,IN,0,,/assets,Not received,1822554,asset_search_cleared,2635ea12-882f-418d-9542-672ccdfb3251,,,,,,,,True,False,False,True,,,,
2026-04-30T08:45:02.606+05:30,Invest in non-market linked investment opportunities,Phone,,https://www.gripinvest.in/assets,497,web,Not received,Not received,https://www.gripinvest.in/assets,Imphal,3.11.17,"Mozilla/5.0 (Linux; Android 15; SM-A146B Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",2026-04-30T09:00:17.718+05:30,/assets,Not received,Not received,Chrome,False,$direct,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,384,,npm,POSTGRES,$direct,no-context,384,Not received,3.11.17,2026-04-30T08:45:03.464+05:30,Not received,Not received,Not received,e5d307b0-bf25-467b-ac96-0f81fa9fdb89,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1777518850904.0,ip_1fca8268ad,Asia/Kolkata,2026-04-30T08:45:03.463+05:30,Slicebo,en-IN,Not received,False,2.8125,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Mobile App,2026-04-30T08:45:02.605+05:30,Not received,4g,Reliance Jio Infocomm Limited,857,Manipur,Not received,ip_1fca8268ad,ip_1fca8268ad,/discover,bonds,Portrait,IN,0,,/assets,Not received,619649,asset_search_cleared,3c29ada3-c84d-41ad-8986-37d6e65a561e,?utm_source=app&utm_medium=marketing&utm_campaign=PApp_25042026_E_Followup_Deal_Bond_Keertana_Reg_FTI,,,,,,,True,False,False,True,,,,
2026-04-30T09:04:42.914+05:30,Invest in non-market linked investment opportunities,Phone,?type=bonds,https://www.gripinvest.in/assets?type=bonds,521,web,Not received,Not received,https://www.gripinvest.in/assets?type=bonds,New Delhi,3.11.17,"Mozilla/5.0 (Linux; Android 11; ASUS_I01WD Build/RKQ1.200710.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",2026-04-30T09:30:33.012+05:30,/assets,Not received,Not received,Chrome,False,$direct,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,411,,npm,POSTGRES,https://www.gripinvest.in/404,no-context,412,Not received,3.11.17,2026-04-30T09:04:45.126+05:30,Not received,Not received,Not received,9d26a1e3-4e33-4ea8-8cc1-cb052249b71b,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1777520004579.0,ip_86bbca1fb8,Asia/Kolkata,2026-04-30T09:04:45.125+05:30,Lucina,en-IN,Not received,False,2.625,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Mobile App,2026-04-30T09:04:42.913+05:30,Not received,4g,MNR Broadband Services Pvt. Ltd.,892,National Capital Territory of Delhi,Not received,ip_86bbca1fb8,ip_86bbca1fb8,/discover,bonds,Portrait,IN,0,www.gripinvest.in,/assets,Not received,1599326,asset_search_cleared,5d905737-b688-4eab-ad8a-fe5070db3674,,,,,,,,True,True,True,True,,,,
2026-04-30T09:52:36.086+05:30,Invest in non-market linked investment opportunities,Phone,,https://www.gripinvest.in/assets,662,web,Not received,Not received,https://www.gripinvest.in/assets,Thrissur,3.11.17,"Mozilla/5.0 (Linux; Android 16; SM-S928B Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",2026-04-30T10:00:14.242+05:30,/assets,Not received,Not received,Chrome,True,$direct,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,512,,npm,POSTGRES,$direct,no-context,512,Not received,3.11.17,2026-04-30T09:52:36.459+05:30,Not received,Not received,Not received,61dc3b61-7623-4d0c-86d4-0714bd5c3e03,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1777522671246.0,ip_ea0311f752,Asia/Kolkata,2026-04-30T09:52:36.458+05:30,Iif,en-IN,Not received,False,2.8125,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Mobile App,2026-04-30T09:52:36.085+05:30,Not received,4g,National Internet Backbone,1110,Kerala,Not received,ip_ea0311f752,ip_ea0311f752,/assets/bonds,bonds,Portrait,IN,0,,/assets,Not received,117469,asset_search_cleared,275e9ef0-d934-4a8f-bdfc-b977ae88c6f9,,,,,,,,True,False,False,True,,,,
2026-04-30T10:27:02.034+05:30,Invest in non-market linked investment opportunities,Phone,,https://www.gripinvest.in/assets,778,web,Not received,Cj0KCQjw2MbPBhCSARIsAP3jP9xGng8K1_N0rbUmfgu8L4omkD1wn3P5QGTVcnbRJTJNbZOwWWduCqIaArNYEALw_wcB,https://www.gripinvest.in/assets,Patna,3.11.17,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Mobile Safari/537.36",2026-04-30T10:30:23.728+05:30,/assets,Not received,Not received,Chrome,False,https://www.gripinvest.in/signup,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,392,www.gripinvest.in,npm,POSTGRES,https://www.google.com/,no-context,393,Not received,3.11.17,2026-04-30T10:27:01.929+05:30,Not received,google,cpc,ee0e5444-a138-4ba3-8746-1f62c7f773fa,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1777524725281.0,ip_c14c1988d7,Asia/Kolkata,2026-04-30T10:27:01.928+05:30,Radico,en-US,Not received,False,2.75,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Website,2026-04-30T10:27:02.033+05:30,Not received,3g,Reliance Jio Infocomm Limited,886,Bihar,18457637920,ip_c14c1988d7,ip_c14c1988d7,/quick-start,bonds,Portrait,IN,0,www.google.com,/assets,Not received,1824735,asset_search_cleared,1cbf4f09-ca73-4a54-9394-5214a4974bd5,?utm_source=google&utm_medium=cpc&utm_campaign=18457637920&utm_referrer=&gad_source=1&gad_campaignid=18457637920&gclid=Cj0KCQjw2MbPBhCSARIsAP3jP9xGng8K1_N0rbUmfgu8L4omkD1wn3P5QGTVcnbRJTJNbZOwWWduCqIaArNYEALw_wcB,,,,,,,False,False,False,False,,,,
2026-04-30T10:46:21.101+05:30,Invest in non-market linked investment opportunities,Phone,,https://www.gripinvest.in/assets,497,web,Not received,Not received,https://www.gripinvest.in/assets,Mumbai,3.11.17,"Mozilla/5.0 (Linux; Android 15; SM-A146B Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",2026-04-30T11:00:32.908+05:30,/assets,Not received,Not received,Chrome,True,$direct,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,384,,npm,POSTGRES,$direct,no-context,384,Not received,3.11.17,2026-04-30T10:46:20.365+05:30,Not received,Not received,Not received,e6216195-8736-4278-b281-d34059d44c32,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1777525966378.0,ip_8df7a101c0,Asia/Kolkata,2026-04-30T10:46:20.364+05:30,Reit,en-IN,Not received,False,2.8125,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Mobile App,2026-04-30T10:46:21.1+05:30,Not received,4g,Reliance Jio Infocomm Limited,857,Maharashtra,Not received,ip_8df7a101c0,ip_8df7a101c0,/discover,bonds,Portrait,IN,0,,/assets,Not received,1718525,asset_search_cleared,29636b0f-6b11-4e1c-a5bb-88671910db3b,,,,,,,,False,False,False,False,,,,
2026-04-30T10:47:17.776+05:30,Invest in non-market linked investment opportunities,Phone,,https://www.gripinvest.in/assets,456,web,Not received,Not received,https://www.gripinvest.in/assets,New Delhi,3.11.17,"Mozilla/5.0 (Linux; Android 16; Pixel 10 Pro XL Build/CP1A.260405.005; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",2026-04-30T11:00:32.908+05:30,/assets,Not received,Not received,Chrome,False,https://www.gripinvest.in/external-ui/1a2ff79c-d816-4363-9475-90addd32e04e?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,443,www.gripinvest.in,npm,POSTGRES,$direct,no-context,444,Not received,3.11.17,2026-04-30T10:47:17.16+05:30,Not received,ET money,connect,bd941699-34ba-4944-b347-16a7726b90c5,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1777524392598.0,ip_e764807778,Asia/Kolkata,2026-04-30T10:47:17.158+05:30,Gov,en-us,Not received,False,2.4375,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Website,2026-04-30T10:47:17.774+05:30,Not received,4g,World Fibernet Private Limited,987,National Capital Territory of Delhi,gc,ip_a361fab188,ip_a361fab188,/portfolio,bonds,Portrait,IN,0,,/assets,Not received,34116,asset_search_cleared,97fa28f2-e3f0-4267-9bf9-38e3218f0f5a,?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,ET money,RPMXF8AD,394.0,,,,False,False,False,False,394.0,ET money,RPMXF8AD,
2026-04-30T11:06:06.102+05:30,Invest in non-market linked investment opportunities,Phone,?type=bonds,https://www.gripinvest.in/assets?type=bonds,575,web,Not received,Not received,https://www.gripinvest.in/assets?type=bonds,Pune,3.11.17,"Mozilla/5.0 (Linux; Android 16; A001 Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",2026-04-30T11:30:19.397+05:30,/assets,Not received,Not received,Chrome,True,$direct,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0530,RudderLabs JavaScript SDK,Not received,411,,npm,POSTGRES,$direct,no-context,412,Not received,3.11.17,2026-04-30T11:06:06.688+05:30,Not received,Not received,Not received,bbfb7716-5e9d-4f78-b34e-e3107bf9325e,Javascript,India,1zPBioi9zJvy4kIey0DcD3upWe6,,1777527163506.0,ip_42a1540118,Asia/Kolkata,2026-04-30T11:06:06.684+05:30,Sove,en-IN,Not received,False,2.625,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Mobile App,2026-04-30T11:06:06.098+05:30,Not received,4g,"Bharti Airtel Ltd., Telemedia Services",912,Maharashtra,Not received,ip_42a1540118,ip_42a1540118,/discover,bonds,Portrait,IN,0,,/assets,Not received,1823588,asset_search_cleared,afb4a8bd-6ecc-47d7-874d-4655d54fd0aa,,,,,,,,False,False,False,False,,,,
2026-04-30T11:22:37.843+05:30,Invest in non-market linked investment opportunities,Phone,?type=bonds,https://www.gripinvest.in/assets?type=bonds,510,web,Not received,Not received,https://www.gripinvest.in/assets?type=bonds,Itahari,3.11.17,"Mozilla/5.0 (Linux; Android 16; CPH2721 Build/BP2A.250605.015; ) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36 WA4A/2.26.15.76",2026-04-30T11:30:19.397+05:30,/assets,Not received,Not received,Chrome,True,https://app.digio.in/,1zPDwwVTM2IViEcrnPu1ijq5MB9,IPv4,Not received,Android,GMT+0545,RudderLabs JavaScript SDK,Not received,423,app.digio.in,npm,POSTGRES,https://www.paisabazaar.com/,no-context,424,Not received,3.11.17,2026-04-30T11:22:38.205+05:30,Not received,Paisa Bazaar,connect,2c8f72e6-8945-4c8e-ad5e-cc4bd742b94d,Javascript,Nepal,1zPBioi9zJvy4kIey0DcD3upWe6,,1777527709241.0,ip_32b5f3882d,Asia/Kathmandu,2026-04-30T11:22:38.203+05:30,Vishal,en-IN,Not received,False,2.549999952316284,RudderLabs JavaScript SDK,com.rudderlabs.javascript,Unknown,asset_search_cleared,Website,2026-04-30T11:22:37.841+05:30,Not received,4g,Sajilo Net Pvt Ltd,946,Province 1,gc,ip_b6b89d6a3b,ip_b6b89d6a3b,/assetdetails/unigold-finance-limited/ncd/rcbug260401/2566,bonds,Portrait,NP,0,www.paisabazaar.com,/assets,Not received,1824827,asset_search_cleared,6fe4092d-8081-4e15-abc6-34d3a41d7446,?partner_id=PAI00361GC&utm_source=Paisa+Bazaar&utm_medium=connect&utm_campaign=gc,Paisa Bazaar,07be54f0-3ee2-4cb9-b696-bcffb0249a5a,361.0,,,,True,False,False,True,361.0,Paisa Bazaar,07be54f0-3ee2-4cb9-b696-bcffb0249a5a,
