uuid_ts,country,browser,source,context_page_initial_referring_domain,received_at,context_screen_inner_height,term,adgroup,country_code,ip_address,timestamp,gclid,city,context_timezone,name,context_destination_id,referrer_page,os,context_ip,suggestion_count,context_library_version,context_page_referring_domain,fbclid,component_name,context_app_version,context_request_ip,context_destination_type,context_page_path,context_page_search,event,network_type,component_position,context_screen_height,context_page_tab_url,context_page_initial_referrer,device,campaign,creative,channel,page,device_type,isp,item_position,user_id,widget_id,context_source_id,context_page_referrer,original_timestamp,timezone,anonymous_id,asset_id,context_library_name,content,application,version,context_user_agent,device_orientation,active_tab,context_screen_width,context_app_namespace,context_page_title,context_source_type,referrer,suggestion_type,event_text,context_screen_density,exp_version,context_screen_inner_width,context_page_url,context_session_id,sent_at,context_app_name,context_app_install_type,region,placement,context_locale,asset_name,id,medium,adset,utm_search,external_user_id,gc_id,gc_name,context_traits_obpp_kyc_status,context_traits_investment_status,obpp_kyc_status,investment_status,context_traits_external_user_id,context_traits_gc_name,context_traits_gc_id,context_campaign_source,context_campaign_medium,context_campaign_name,context_session_start
2026-04-30T01:00:36.357+05:30,India,Chrome,Not received,,2026-04-30T00:45:16.147+05:30,574,Not received,Not received,IN,ip_c18ed0da28,2026-04-30T00:45:16.145+05:30,Not received,Thiruvananthapuram,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/discover,Android,ip_c09a2fd64a,3,3.11.17,,Not received,Unknown,3.11.17,ip_c09a2fd64a,POSTGRES,/assets,?type=sdi,asset_search_suggestion_clicked,4g,0,873,https://www.gripinvest.in/assets?type=sdi,$direct,Not received,Not received,Not received,web,/assets,Phone,Vodafone Idea Ltd,1,1799094,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-04-30T00:45:15.926+05:30,Asia/Kolkata,31e27858-8166-476d-b4e1-5db256794d49,2506,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 12; M2101K9AG Build/SKQ1.210908.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",Portrait,sdi,393,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,2.75,,392,https://www.gripinvest.in/assets?type=sdi,1777490055410.0,2026-04-30T00:45:15.928+05:30,RudderLabs JavaScript SDK,npm,Kerala,Not received,en-GB,Best Capital Mar'29,5e011134-9257-440b-9ab8-44cbf9810cad,Not received,Not received,?filter=0.25%25extra&utm_source=app&utm_medium=marketing&utm_campaign=PApp_24042026_A_ExtraYTM_Deal_Bond_Bundle_Reg_FTI_Sticky,,,,False,False,False,False,,,,,,,
2026-04-30T01:00:36.357+05:30,India,Chrome,ET money,,2026-04-30T00:52:04.47+05:30,456,Not received,Not received,IN,ip_2df0475756,2026-04-30T00:52:04.467+05:30,Not received,Siliguri,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/assetdetails/iifl-samasta-finance-limited/ncd/rcbiifls260202/2439,Android,ip_2df0475756,3,3.11.17,www.gripinvest.in,Not received,Unknown,3.11.17,ip_2df0475756,POSTGRES,/assets,?type=bonds,asset_search_suggestion_clicked,4g,0,873,https://www.gripinvest.in/assets?type=bonds,$direct,Not received,gc,Not received,web,/assets,Phone,Reliance Jio Infocomm Limited,2,1648893,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/external-ui/3ee111e7-75b8-4158-af07-4688b20b639b?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,2026-04-30T00:52:04.152+05:30,Asia/Kolkata,5aface4b-ff57-44ff-b81e-7d7e9ee74120,2591,RudderLabs JavaScript SDK,Not received,Website,IPv4,"Mozilla/5.0 (Linux; Android 13; M2101K6P Build/TKQ1.221013.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",Portrait,bonds,393,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,2.75,,392,https://www.gripinvest.in/assets?type=bonds,1777490237842.0,2026-04-30T00:52:04.155+05:30,RudderLabs JavaScript SDK,npm,West Bengal,Not received,en-us,Vedika Aug'27,7cdb4aee-1ee7-4a97-a17e-0530b51a2298,connect,Not received,?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,LPM6N85Z,394.0,ET money,False,False,False,False,LPM6N85Z,ET money,394.0,,,,
2026-04-30T01:00:36.357+05:30,India,Chrome,ET money,,2026-04-30T00:58:38.486+05:30,735,Not received,Not received,IN,ip_2df0475756,2026-04-30T00:58:38.484+05:30,Not received,Siliguri,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/assetdetails/suryoday/bank/fdsry240901/1239,Android,ip_2df0475756,3,3.11.17,www.gripinvest.in,Not received,Unknown,3.11.17,ip_2df0475756,POSTGRES,/assets,,asset_search_suggestion_clicked,4g,0,873,https://www.gripinvest.in/assets,$direct,Not received,gc,Not received,web,/assets,Phone,Reliance Jio Infocomm Limited,1,1648893,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,https://www.gripinvest.in/external-ui/3ee111e7-75b8-4158-af07-4688b20b639b?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,2026-04-30T00:58:38.17+05:30,Asia/Kolkata,5aface4b-ff57-44ff-b81e-7d7e9ee74120,2574,RudderLabs JavaScript SDK,Not received,Website,IPv4,"Mozilla/5.0 (Linux; Android 13; M2101K6P Build/TKQ1.221013.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",Portrait,bonds,393,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,2.75,,392,https://www.gripinvest.in/assets,1777490237842.0,2026-04-30T00:58:38.172+05:30,RudderLabs JavaScript SDK,npm,West Bengal,Not received,en-us,Akme Fintrade Jan'29,7ed4a96a-555f-485c-b3fb-df315428a848,connect,Not received,?partner_id=PAR00394IFA&utm_source=ET+money&utm_medium=connect&utm_campaign=gc,LPM6N85Z,394.0,ET money,False,False,False,False,LPM6N85Z,ET money,394.0,,,,
2026-04-30T07:30:10.84+05:30,India,Chrome,Not received,,2026-04-30T07:16:55.546+05:30,438,Not received,Not received,IN,ip_bd1236fe7c,2026-04-30T07:16:55.545+05:30,Not received,Chennai,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/portfolio,Android,ip_bd1236fe7c,3,3.11.17,,Not received,Unknown,3.11.17,ip_bd1236fe7c,POSTGRES,/assets,,asset_search_suggestion_clicked,4g,0,780,https://www.gripinvest.in/assets,$direct,Not received,Not received,Not received,web,/assets,Phone,"Bharti Airtel Ltd., Telemedia Services",3,1265996,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-04-30T07:16:55.662+05:30,Asia/Kolkata,50cbd14c-4cbd-4745-95c7-6037350ee285,2606,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 16; SM-S921E Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",Portrait,bonds,360,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,3.0,,360,https://www.gripinvest.in/assets,1777513496747.0,2026-04-30T07:16:55.663+05:30,RudderLabs JavaScript SDK,npm,Tamil Nadu,Not received,en-IN,Unifinz Capital Apr'28,76531e10-0f30-4268-a0c1-69d8097b9aef,Not received,Not received,,,,,True,True,True,True,,,,,,,
2026-04-30T08:00:20.61+05:30,India,Chrome,Paisa Bazaar,www.paisabazaar.com,2026-04-30T07:45:23.664+05:30,667,Not received,Not received,IN,ip_4130b12dfd,2026-04-30T07:45:23.663+05:30,Not received,Vijayawada,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/assetdetails/unifinz-capital-india-limited/ncd/rcbuf260402/2606,Android,ip_4130b12dfd,3,3.11.17,app.digio.in,Not received,Unknown,3.11.17,ip_4130b12dfd,POSTGRES,/assets,?type=bonds,asset_search_suggestion_clicked,4g,0,800,https://www.gripinvest.in/assets?type=bonds,https://www.paisabazaar.com/,Not received,gc,Not received,web,/assets,Phone,Atria Convergence Technologies Ltd.,1,1824504,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,https://app.digio.in/,2026-04-30T07:45:22.688+05:30,Asia/Kolkata,4aea353b-c133-4e2e-b0b1-e4c4457bafc1,2608,RudderLabs JavaScript SDK,Not received,Website,IPv4,"Mozilla/5.0 (Linux; Android 16; RMX3868 Build/BP2A.250605.015) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.92 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/557.0.0.59.72;IABMV/1;]",Portrait,bonds,360,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,3.0,,360,https://www.gripinvest.in/assets?type=bonds,1777514332419.0,2026-04-30T07:45:22.689+05:30,RudderLabs JavaScript SDK,npm,Andhra Pradesh,Not received,en-GB,Best Capital Mar'29,74af0207-174f-4aa6-8900-ecd1c4e33136,connect,Not received,?partner_id=PAI00361GC&utm_source=Paisa+Bazaar&utm_medium=connect&utm_campaign=gc,eea00a9b-5d52-4471-918f-1fabc2fc16f6,361.0,Paisa Bazaar,True,False,True,False,eea00a9b-5d52-4471-918f-1fabc2fc16f6,Paisa Bazaar,361.0,,,,
2026-04-30T11:00:32.908+05:30,India,Chrome,Not received,,2026-04-30T10:38:39.865+05:30,505,Not received,Not received,IN,ip_b352abbd24,2026-04-30T10:38:39.863+05:30,Not received,Ludhiana,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/assets/bonds,Android,ip_b352abbd24,3,3.11.17,,Not received,Unknown,3.11.17,ip_b352abbd24,POSTGRES,/assets,?type=highyieldfd,asset_search_suggestion_clicked,4g,0,804,https://www.gripinvest.in/assets?type=highyieldfd,$direct,Not received,Not received,Not received,web,/assets,Phone,Reliance Jio Infocomm Limited,3,1819845,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-04-30T10:38:38.218+05:30,Asia/Kolkata,d111cc9b-35d3-47c4-a3d3-b86a7f22b05e,2606,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 14; CPH2381 Build/UKQ1.230924.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",Portrait,highyieldfd,360,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,3.0,,360,https://www.gripinvest.in/assets?type=highyieldfd,1777523220725.0,2026-04-30T10:38:38.22+05:30,RudderLabs JavaScript SDK,npm,Punjab,Not received,en-US,Unifinz Capital Apr'28,289640f3-e225-496f-a1f9-abb2cb5b1248,Not received,Not received,?utm_source=email&utm_medium=marketing&utm_campaign=Grip+Sign+Up+To+KYC+Start+-+Phase4,,,,True,False,True,False,,,,,,,
2026-04-30T12:00:28.474+05:30,India,Chrome,Not received,,2026-04-30T11:44:26.45+05:30,716,Not received,Not received,IN,ip_76d87d7d99,2026-04-30T11:44:26.448+05:30,Not received,Thrissur,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/assets/category/bonds,Android,ip_76d87d7d99,3,3.11.17,,Not received,Unknown,3.11.17,ip_76d87d7d99,POSTGRES,/assets,,asset_search_suggestion_clicked,4g,0,802,https://www.gripinvest.in/assets,$direct,Not received,Not received,Not received,web,/assets,Phone,Reliance Jio Infocomm Limited,1,912060,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-04-30T11:44:25.912+05:30,Asia/Kolkata,4a29e16e-cc2d-4898-978f-02b94bbf569d,2608,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 15; CPH2751 Build/AP3A.240617.008; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",Portrait,bonds,360,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,2.0,,360,https://www.gripinvest.in/assets,1777528814412.0,2026-04-30T11:44:25.914+05:30,RudderLabs JavaScript SDK,npm,Kerala,Not received,en-GB,Best Capital Mar'29,ca37cd9f-c83c-409f-af85-2a67f0301a8a,Not received,Not received,?filter=all&sort=ytm_desc&utm_source=whatsapp&utm_medium=marketng&utm_campaign=SWA_30042026_M_Followup_Portfolio_NA_NA_IU_ActiveInvestment_Karix,,,,True,True,True,True,,,,,,,
2026-04-30T13:30:03.936+05:30,India,Chrome,Not received,,2026-04-30T13:10:48.547+05:30,796,Not received,Not received,IN,ip_1da71a1640,2026-04-30T13:10:48.546+05:30,Not received,Kolkata,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/assets/bonds,Android,ip_1da71a1640,3,3.11.17,,Not received,Unknown,3.11.17,ip_1da71a1640,POSTGRES,/assets,?type=sdi,asset_search_suggestion_clicked,4g,0,873,https://www.gripinvest.in/assets?type=sdi,$direct,Not received,Not received,Not received,web,/assets,Phone,Reliance Jio Infocomm Limited,3,1163193,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-04-30T13:10:47.612+05:30,Asia/Kolkata,c28b21c4-34d6-41aa-8d9a-ebdb2a6dcfdf,2606,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 16; V2416 Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",Portrait,sdi,393,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,2.75,,392,https://www.gripinvest.in/assets?type=sdi,1777534654520.0,2026-04-30T13:10:47.613+05:30,RudderLabs JavaScript SDK,npm,West Bengal,Not received,en-US,Unifinz Capital Apr'28,8ac6a096-e122-4970-9db7-56820ca8304b,Not received,Not received,,,,,True,True,True,True,,,,,,,
2026-04-30T15:00:16.39+05:30,India,Chrome,Not received,,2026-04-30T14:59:30.15+05:30,462,Not received,Not received,IN,ip_81c7753259,2026-04-30T14:59:30.149+05:30,Not received,Bengaluru,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/discover,Android,ip_81c7753259,3,3.11.17,,Not received,Unknown,3.11.17,ip_81c7753259,POSTGRES,/assets,?type=bonds,asset_search_suggestion_clicked,4g,0,791,https://www.gripinvest.in/assets?type=bonds,$direct,Not received,Not received,Not received,web,/assets,Phone,National Internet Backbone,3,1825278,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-04-30T14:59:30.019+05:30,Asia/Kolkata,3707d401-7d04-4937-a705-ebc14a5a9262,2446,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 16; V2428 Build/BP2A.250605.031.A3_V000L1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",Portrait,bonds,358,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,3.0250000953674316,,357,https://www.gripinvest.in/assets?type=bonds,1777541329948.0,2026-04-30T14:59:30.02+05:30,RudderLabs JavaScript SDK,npm,Karnataka,Not received,en-US,Keertana Finserv Oct'28,7cf9f1ac-c6f5-444e-8e0a-ec80266c445a,Not received,Not received,,,,,False,False,False,False,,,,,,,
2026-04-30T16:30:29.891+05:30,India,Chrome,Not received,,2026-04-30T16:26:20.094+05:30,544,Not received,Not received,IN,ip_9fe8d460d3,2026-04-30T16:26:20.091+05:30,Not received,Guwahati,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/portfolio,Android,ip_9fe8d460d3,3,3.11.17,,Not received,Unknown,3.11.17,ip_9fe8d460d3,POSTGRES,/assets,,asset_search_suggestion_clicked,4g,0,873,https://www.gripinvest.in/assets,$direct,Not received,Not received,Not received,web,/assets,Phone,Reliance Jio Infocomm Limited,3,1188907,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-04-30T16:26:19.699+05:30,Asia/Kolkata,a73d545c-67da-44bf-81d9-ca1a6d3c8052,2606,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 15; V2303 Build/AP3A.240905.015.A2; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",Portrait,bonds,393,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,2.75,,392,https://www.gripinvest.in/assets,1777545720666.0,2026-04-30T16:26:19.702+05:30,RudderLabs JavaScript SDK,npm,Assam,Not received,en-US,Unifinz Capital Apr'28,bfcc4249-e985-430a-93df-9a33ccc7d05f,Not received,Not received,?utm_source=google&utm_medium=cpc&utm_campaign=22918237411&utm_referrer=&gad_source=2&gad_campaignid=22918237411&gclid=Cj0KCQjw2MbPBhCSARIsAP3jP9xMSH0l5F1HYBhqv9m-jSwabIQ26L6YiSNpDdMyC6kTOWlpjY6K3p4aArMdEALw_wcB,,,,True,True,True,True,,,,,,,
2026-04-30T17:00:08.841+05:30,India,Chrome,Not received,,2026-04-30T16:55:08.914+05:30,498,Not received,Not received,IN,ip_a0b2e25a0a,2026-04-30T16:55:08.912+05:30,Not received,Mathurāpur,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/discover,Android,ip_a0b2e25a0a,3,3.11.17,,Not received,Unknown,3.11.17,ip_a0b2e25a0a,POSTGRES,/assets,,asset_search_suggestion_clicked,4g,0,851,https://www.gripinvest.in/assets,$direct,Not received,Not received,Not received,web,/assets,Phone,Reliance Jio Infocomm Limited,3,1296585,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-04-30T16:55:09.002+05:30,Asia/Kolkata,7df89e51-40bd-4483-b855-5e5d5ffdd13a,2606,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 11; M2003J15SC Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",Portrait,bonds,393,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,2.75,,392,https://www.gripinvest.in/assets,1777546112730.0,2026-04-30T16:55:09.004+05:30,RudderLabs JavaScript SDK,npm,West Bengal,Not received,en-IN,Unifinz Capital Apr'28,297c55ba-a49d-4e1f-89d9-e7ffaf152c9b,Not received,Not received,,,,,True,True,True,True,,,,,,,
2026-04-30T17:00:08.841+05:30,India,Chrome,Not received,,2026-04-30T16:55:42.865+05:30,498,Not received,Not received,IN,ip_a0b2e25a0a,2026-04-30T16:55:42.86+05:30,Not received,Mathurāpur,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/assetdetails/unifinz-capital-india-limited/ncd/rcbuf260402/2606,Android,ip_a0b2e25a0a,3,3.11.17,,Not received,Unknown,3.11.17,ip_a0b2e25a0a,POSTGRES,/assets,,asset_search_suggestion_clicked,4g,0,851,https://www.gripinvest.in/assets,$direct,Not received,Not received,Not received,web,/assets,Phone,Reliance Jio Infocomm Limited,3,1296585,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-04-30T16:55:42.955+05:30,Asia/Kolkata,7df89e51-40bd-4483-b855-5e5d5ffdd13a,2606,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 11; M2003J15SC Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",Portrait,bonds,393,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,2.75,,392,https://www.gripinvest.in/assets,1777546112730.0,2026-04-30T16:55:42.96+05:30,RudderLabs JavaScript SDK,npm,West Bengal,Not received,en-IN,Unifinz Capital Apr'28,e7864284-3bca-43f7-ac3c-61976e497f99,Not received,Not received,,,,,True,True,True,True,,,,,,,
2026-04-30T17:00:08.841+05:30,India,Chrome,Not received,,2026-04-30T16:56:01.066+05:30,498,Not received,Not received,IN,ip_a0b2e25a0a,2026-04-30T16:56:01.061+05:30,Not received,Mathurāpur,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/assetdetails/unifinz-capital-india-limited/ncd/rcbuf260402/2606,Android,ip_a0b2e25a0a,3,3.11.17,,Not received,Unknown,3.11.17,ip_a0b2e25a0a,POSTGRES,/assets,,asset_search_suggestion_clicked,4g,0,851,https://www.gripinvest.in/assets,$direct,Not received,Not received,Not received,web,/assets,Phone,Reliance Jio Infocomm Limited,3,1296585,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-04-30T16:56:01.157+05:30,Asia/Kolkata,7df89e51-40bd-4483-b855-5e5d5ffdd13a,2606,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 11; M2003J15SC Build/RP1A.200720.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",Portrait,bonds,393,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,2.75,,392,https://www.gripinvest.in/assets,1777546112730.0,2026-04-30T16:56:01.162+05:30,RudderLabs JavaScript SDK,npm,West Bengal,Not received,en-IN,Unifinz Capital Apr'28,d0db71f1-830e-4ed5-b89d-2da20aa0d509,Not received,Not received,,,,,True,True,True,True,,,,,,,
2026-04-30T17:30:30.965+05:30,India,Chrome,Not received,,2026-04-30T17:00:14.948+05:30,723,Not received,Not received,IN,ip_d822af834a,2026-04-30T17:00:14.942+05:30,Not received,Ludhiana,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/discover,Android,ip_d822af834a,3,3.11.17,,Not received,Unknown,3.11.17,ip_d822af834a,POSTGRES,/assets,?type=highyieldfd,asset_search_suggestion_clicked,4g,0,804,https://www.gripinvest.in/assets?type=highyieldfd,$direct,Not received,Not received,Not received,web,/assets,Phone,Reliance Jio Infocomm Limited,1,1819845,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-04-30T17:00:13.196+05:30,Asia/Kolkata,d111cc9b-35d3-47c4-a3d3-b86a7f22b05e,2608,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 14; CPH2381 Build/UKQ1.230924.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",Portrait,highyieldfd,360,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,3.0,,360,https://www.gripinvest.in/assets?type=highyieldfd,1777548570349.0,2026-04-30T17:00:13.202+05:30,RudderLabs JavaScript SDK,npm,Punjab,Not received,en-US,Best Capital Mar'29,49a98e7e-6653-48af-9b40-1e136ec37a61,Not received,Not received,?utm_source=email&utm_medium=marketing&utm_campaign=Grip+Sign+Up+To+KYC+Start+-+Phase4,,,,True,False,True,False,,,,,,,
2026-04-30T18:00:05.156+05:30,India,Chrome,Paisa Bazaar,www.gripinvest.in,2026-04-30T17:35:41.799+05:30,529,Not received,Not received,IN,ip_e88c122f48,2026-04-30T17:35:41.798+05:30,Not received,Sehore,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/assetdetails/government-of-india/ncd/rcbtb260410/2597,Android,ip_e88c122f48,3,3.11.17,app.digio.in,Not received,Unknown,3.11.17,ip_e88c122f48,POSTGRES,/assets,,asset_search_suggestion_clicked,4g,0,934,https://www.gripinvest.in/assets,https://www.gripinvest.in/external-ui/cf5463d4-dd83-4c55-a614-13fbf8af93e7?partner_id=PAI00361GC&utm_source=Paisa+Bazaar&utm_medium=connect&utm_campaign=gc,Not received,gc,Not received,web,/assets,Phone,Bharti Airtel Ltd. AS for GPRS Service,1,1825532,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,https://app.digio.in/,2026-04-30T17:35:40.873+05:30,Asia/Kolkata,a5f3d59c-3a8a-4503-bd95-c5d1c5f55f5d,2608,RudderLabs JavaScript SDK,Not received,Website,IPv4,"Mozilla/5.0 (Linux; Android 16; V2318 Build/BP2A.250605.031.A3_IN; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",Portrait,bonds,420,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,3.0,,420,https://www.gripinvest.in/assets,1777549528501.0,2026-04-30T17:35:40.874+05:30,RudderLabs JavaScript SDK,npm,Madhya Pradesh,Not received,en-US,Best Capital Mar'29,33c7dd1d-229c-4feb-b17d-6a035aede8fb,connect,Not received,?partner_id=PAI00361GC&utm_source=Paisa+Bazaar&utm_medium=connect&utm_campaign=gc,b66a4fc9-553f-49f3-8f11-d7d115e79420,361.0,Paisa Bazaar,True,False,True,False,b66a4fc9-553f-49f3-8f11-d7d115e79420,Paisa Bazaar,361.0,,,,
2026-04-30T18:30:23.224+05:30,India,Chrome,Not received,,2026-04-30T18:00:06.601+05:30,469,Not received,Not received,IN,ip_f7c80bea8d,2026-04-30T18:00:06.599+05:30,Not received,Pune,GMT+0530,Not received,1zPDwwVTM2IViEcrnPu1ijq5MB9,/assetdetails/indel/ncd/rcbim260301/2500,Android,ip_f7c80bea8d,3,3.11.17,,Not received,Unknown,3.11.17,ip_f7c80bea8d,POSTGRES,/assets,,asset_search_suggestion_clicked,4g,0,780,https://www.gripinvest.in/assets,$direct,Not received,Not received,Not received,web,/assets,Phone,Reliance Jio Infocomm Limited,1,1825582,no-context,1zPBioi9zJvy4kIey0DcD3upWe6,$direct,2026-04-30T18:00:05.425+05:30,Asia/Kolkata,cbca5fe7-95b7-4150-b499-60f610908b74,2506,RudderLabs JavaScript SDK,Not received,Mobile App,IPv4,"Mozilla/5.0 (Linux; Android 11; RMX1921 Build/RKQ1.201217.002; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.55 Mobile Safari/537.36",Portrait,bonds,360,com.rudderlabs.javascript,Invest in non-market linked investment opportunities,Javascript,Not received,top_ytm,asset_search_suggestion_clicked,3.0,,360,https://www.gripinvest.in/assets,1777551013225.0,2026-04-30T18:00:05.427+05:30,RudderLabs JavaScript SDK,npm,Maharashtra,Not received,en-GB,Best Capital Mar'29,340c15c1-4937-44d0-83fb-d16f4b02a6be,Not received,Not received,,,,,False,False,False,False,,,,,,,
